Lfd. Nr.;AHB;"Beschreibung des Anwendungsfalls aus dem AHB (EDIFACT)
API-Webservice (API)";Prüfidentifikator;Reaktion auf Prüfidentifikator;Prozessbeschreibung;"Prozessschritt aus 
Kapitel";Bezeichnung aus Sequenzdiagramm;Prozessschritt aus Sequenzdiagramm;Aktion;Kommunikation von;Kommunikation an;Zuordnung zu einem Objekt;Zuordnung zu einem Geschäftsvorfall;Erweiterte Zuordnung;Objekteigenschaft;Sparte Strom;"Sparte 
Gas";Übertragungsweg;Fußnote;Meilenstein;"Kommunikation von : 
Auslösende Events";"Kommunikation von: 
Lesende Schnittstellen";"Kommunikation von: 
Schreibende Schnittstellen";"Kommunikation an: 
Lesende Schnittstellen";"Kommunikation an: 
Schreibende Schnittstellen"
22320;--;--;--;--;GPKE Teil 3;1.2.7.2;Reklamation einer Definition des NB vom LF an NB;3;ref Übermittlung einer Definition des NB durch den NB;NB;--;--;--;--;--;X;--;--;;2;;;;;
22330;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklemation einer Definition;17122;--;GPKE Teil 3;1.2.7.3;Reklamation einer Definition des NB vom MSB an NB;1;Reklamation einer Definition des NB;MSB;NB;--;"wenn SG29 FTX+Z08 vorhanden 
ZG-T41; wenn SG29 FTX+Z10 vorhanden 
ZG-T52; wenn SG29 FTX+Z07/Z09 vorhanden
--";--;--;X;--;AS4;;2;;;;;
22340;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Reklamation einer Definition;19123;--;GPKE Teil 3;1.2.7.3;Reklamation einer Definition des NB vom MSB an NB;2;Ablehnung der Reklamation;NB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22350;--;--;--;--;GPKE Teil 3;1.2.7.3;Reklamation einer Definition des NB vom MSB an NB;3;ref Übermittlung einer Definition des NB durch den NB;NB;--;--;--;--;--;X;--;--;;2;;;;;
22360;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklemation einer Definition;17122;--;GPKE Teil 3;1.2.8.2;Reklamation einer Definition des LF vom NB an LF;1;Reklamation einer Definition des LF;NB;LF;--;"wenn SG29 FTX+Z08 vorhanden 
ZG-T41; wenn SG29 FTX+Z10 vorhanden 
ZG-T52; wenn SG29 FTX+Z07/Z09 vorhanden
--";--;--;X;--;AS4;;2;;;;;
22370;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Reklamation einer Definition;19123;--;GPKE Teil 3;1.2.8.2;Reklamation einer Definition des LF vom NB an LF;2;Ablehnung der Reklamation;LF;NB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22380;--;--;--;--;GPKE Teil 3;1.2.8.2;Reklamation einer Definition des LF vom NB an LF;3;ref Übermittlung einer Definition des LF durch den LF;LF;--;--;--;--;--;X;--;--;;2;;;;;
22390;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklemation einer Definition;17122;--;GPKE Teil 3;1.2.8.3;Reklamation einer Definition des LF vom MSB an LF;1;Reklamation einer Definition des LF;MSB;LF;--;"wenn SG29 FTX+Z08 vorhanden 
ZG-T41; wenn SG29 FTX+Z10 vorhanden 
ZG-T52; wenn SG29 FTX+Z07/Z09 vorhanden
--";--;--;X;--;AS4;;2;;;;;
22400;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Reklamation einer Definition;19123;--;GPKE Teil 3;1.2.8.3;Reklamation einer Definition des LF vom MSB an LF;2;Ablehnung der Reklamation;LF;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22410;--;--;--;--;GPKE Teil 3;1.2.8.3;Reklamation einer Definition des LF vom MSB an LF;3;ref Übermittlung einer Definition des LF durch den LF;LF;--;--;--;--;--;X;--;--;;2;;;;;
22420;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Änderung Zählzeitdefinition;17123;x;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;1;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;NB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22430;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Änderung Prognosegrundlage;17120;x;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;1;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;NB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22440;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Änderung Prognosegrundlage;19121;17120;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;2;Mitteilung zum weiteren Vorgehen zur Bestellung;NB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22450;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Änderung Zählzeitdefinition;19124;17123;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;2;Mitteilung zum weiteren Vorgehen zur Bestellung;NB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22460;--;--;--;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;3;ref Bestellung einer Konfiguration vom NB an MSB;NB;--;--;--;--;--;X;--;--;;2;;;;;
22470;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;4;Weiterleitung der Mitteilung zum weiteren Vorgehen zur Bestellung vom MSB der direkt betroffenen Lokation;NB;LF;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22480;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;5;Weiterleitung der Antwort auf Bestellung vom MSB der direkt betroffenen Lokation;NB;LF;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22490;--;--;--;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;6;ref Abrechnungsdaten Netznutzungsabrechnung;NB;--;--;--;--;--;X;--;--;;2;;;;;
22500;--;--;--;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;7;ref Abrechnungsdaten Bilanzkreisabrechnung;NB;--;--;--;--;--;X;--;--;;2;;;;;
22510;--;--;--;--;GPKE Teil 3;1.3.2.2;Bestellung einer Konfiguration vom LF an NB;8;ref Stammdatenänderung vom NB (verantwortlich) ausgehend;NB;--;--;--;--;--;X;--;--;;2;;;;;
22520;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Anfrage einer Konfiguration;35004;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;1;Anfrage einer Konfiguration auf Ebene der direkt betroffenen Lokation;NB;MSB;ZO-T17;--  ;--  ;--;X;--;AS4;;2;;;;;
22530;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Angebot  einer Konfiguration;15004;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;2;Angebot zur/ Ablehnung der Anfrage;MSB;NB;--;ZG-T16;--  ;--;X;--;AS4;;2;;;;;
22540;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Angebot einer Konfiguration;17131;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;3;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;NB;MSB;--;ZG-T24;--;--;X;--;AS4;;2;;;;;
22550;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfiguration;17130;x;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;4;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;NB;MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22560;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Änderung;17121;x;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;4;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;NB;MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22570;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Bestellung Konfiguration;19132;17130;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;5;Mitteilung zum weiteren Vorgehen zur Bestellung;MSB;NB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22580;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Änderung;19120;17121;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;5;Mitteilung zum weiteren Vorgehen zur Bestellung;MSB;NB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22590;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfiguration;17130;x;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;6;Bestellung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22600;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;x;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;6;Bestellung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22610;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Bestellung Konfiguration;19132;17130;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;7;Mitteilung zum weiteren Vorgehen zur Bestellung;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22620;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;7;Mitteilung zum weiteren Vorgehen zur Bestellung;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22630;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;8;Antwort auf Bestellung;MSB;weiterer MSB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22640;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;9;Antwort auf Bestellung;MSB;NB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22650;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;10;Mitteilung über Gesamtvorgang;MSB;weiterer MSB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22660;--;--;--;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;11;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;weiterer MSB;--;--;--;--;--;X;--;--;;2;;;;;
22670;--;--;--;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;12;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB;--;--;--;--;--;X;--;--;;2;;;;;
22680;--;--;--;--;GPKE Teil 3;1.3.3.2;Bestellung einer Konfiguration vom NB an MSB;13;ref Abrechnung Leistungen des Preisblatts A des MSB zwischen MSB und NB;MSB;--;--;--;--;--;X;--;--;;2;;;;;
22690;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Anfrage einer Konfiguration;35004;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;1;Anfrage einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;MSB;ZO-T17;--;--;--;X;--;AS4;;2;;;;;
22700;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Angebot  einer Konfiguration;15004;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;2;Angebot zur / Ablehnung der Anfrage;MSB;LF;--;ZG-T16;--;--;X;--;AS4;;2;;;;;
22710;IFTSTA AHB;Ablehnung der Anfrage;21033;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;2;Angebot zur / Ablehnung der Anfrage;MSB;LF;--;ZG-Z34;--;--;X;--;AS4;;2;;;;;
22720;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Angebot einer Konfiguration;17131;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;3;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;MSB;--;ZG-T24;--;--;X;--;AS4;;2;;;;;
22730;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfiguration;17130;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;4;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22740;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Änderung Zählzeitdefinition;17123;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;4;Bestellung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22750;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Bestellung Konfiguration;19132;17130;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;5;Mitteilung zum weiteren Vorgehen zur Bestellung;MSB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22760;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Änderung Zählzeitdefinition;19124;17123;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;5;Mitteilung zum weiteren Vorgehen zur Bestellung;MSB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22770;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfiguration;17130;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;6;Bestellung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22780;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;6;Bestellung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22790;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Bestellung Konfiguration;19132;17130;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;7;Mitteilung zum weiteren Vorgehen zur Bestellung;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22800;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;7;Mitteilung zum weiteren Vorgehen zur Bestellung;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22810;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;8;Antwort auf Bestellung;weiterer MSB;MSB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22820;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;9;Antwort auf Bestellung;MSB;LF;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22830;IFTSTA AHB;Bestellungsantwort / -mitteilung;21043;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;10;Mitteilung über Gesamtvorgang;MSB;weiterer MSB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
22840;--;--;--;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;11;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;weiterer MSB;--;--;--;--;--;X;--;--;;2;;;;;
22850;--;--;--;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;12;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB;--;--;--;--;--;X;--;--;;2;;;;;
22860;--;--;--;--;GPKE Teil 3;1.3.3.3;Bestellung einer Konfiguration vom LF an MSB;13;ref Abrechnung Leistungen des Preisblatts A des MSB zwischen MSB und LF;MSB;--;--;--;--;--;X;--;--;;2;;;;;
22870;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklamation einer Konfiguration;17128;--;GPKE Teil 3;1.3.4.3;Reklamation einer Konfiguration vom NB an MSB;1;Reklamation einer Konfiguration;NB;MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
22880;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bearbeitungsstand Reklamation Konfiguration;19130;--;GPKE Teil 3;1.3.4.3;Reklamation einer Konfiguration vom NB an MSB;2;Bearbeitungsstand zur Reklamation;MSB;NB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22890;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklamation einer Konfiguration;17128;--;GPKE Teil 3;1.3.4.3;Reklamation einer Konfiguration vom LF an MSB;1;Reklamation einer Konfiguration;LF;MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
22900;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bearbeitungsstand Reklamation Konfiguration;19130;--;GPKE Teil 3;1.3.4.3;Reklamation einer Konfiguration vom LF an MSB;2;Bearbeitungsstand zur Reklamation;MSB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22910;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Reklamation einer Konfiguration;17128;--;GPKE Teil 3;1.3.4.4;Reklamation einer Konfiguration vom MSB;1;Reklamation einer Konfiguration;MSB;weiterer MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
22920;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bearbeitungsstand Reklamation Konfiguration;19130;--;GPKE Teil 3;1.3.4.4;Reklamation einer Konfiguration vom MSB;2;Bearbeitungsstand zur Reklamation;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22930;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;1;Bestellung Beendigung einer Konfiguration auf Ebene der direkt betroffenen Lokation;NB;MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
22940;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;2;Antwort auf Bestellung;MSB;NB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22950;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;3;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
22960;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;3;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
22970;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;17129;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;4;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22980;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;4;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
22990;--;--;--;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;5;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;weiterer MSB;--;--;--;--;--;X;--;--;;2;;;;;
23000;--;--;--;--;GPKE Teil 3;1.3.5.2;Bestellung Beendigung einer Konfiguration vom NB an MSB;6;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB;--;--;--;--;--;X;--;--;;2;;;;;
23010;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;--;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;1;Bestellung Beendigung einer Konfiguration auf Ebene der direkt betroffenen Lokation;LF;MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
23020;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;--;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;2;Antwort auf Bestellung;MSB;LF;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23030;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;x;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;3;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
23040;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;x;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;3;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
23050;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;17129;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;4;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23060;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;4;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23070;--;--;--;--;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;5;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;weiterer MSB;--;--;--;--;--;X;--;--;;2;;;;;
23080;--;--;--;--;GPKE Teil 3;1.3.5.3;Bestellung Beendigung einer Konfiguration vom LF an MSB;6;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB;--;--;--;--;--;X;--;--;;2;;;;;
23090;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;x;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;1;Bestellung Beendigung einer Konfiguration auf Ebene der direkt betroffenen Lokation;weiterer MSB;MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
23100;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;x;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;1;Bestellung Beendigung einer Konfiguration auf Ebene der direkt betroffenen Lokation;weiterer MSB;MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
23110;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;17129;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;2;Antwort auf Bestellung;MSB;weiterer MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23120;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;2;Antwort auf Bestellung;MSB;weiterer MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23130;IFTSTA AHB;Bestellungsbeendigung;21044;--;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;3;Information über die Beendigung einer Konfiguration;MSB;NB;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
23140;IFTSTA AHB;Bestellungsbeendigung;21044;--;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;4;Information über die Beendigung einer Konfiguration;MSB;LF;--;ZG-T47;--;--;X;--;AS4;;2;;;;;
23150;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Beendigung einer Konfiguration;17129;x;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;5;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;--;ZG-T54;--;--;X;--;AS4;;2;;;;;
23160;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung einer Konfigurationsänderung;17118;x;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;5;Beendigung einer Konfiguration für weiter betroffene Lokationen;MSB;weiterer MSB;ZO-T15;--;--;--;X;--;AS4;;2;;;;;
23170;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Beendigung Konfiguration;19131;17129;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;6;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23180;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Mitteilung zur Konfigurationsänderung;19127;17118;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;6;Antwort;weiterer MSB;MSB;--;ZG-T14;--;--;X;--;AS4;;2;;;;;
23190;--;--;--;--;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;7;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;weiterer MSB;--;--;--;--;--;X;--;--;;2;;;;;
23200;--;--;--;--;GPKE Teil 3;1.3.5.4;Bestellung Beendigung einer Konfiguration vom weiteren MSB an MSB;8;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB;--;--;--;--;--;X;--;--;;2;;;;;
